Word(s),Spoken Form (If Different)
ack mapper,ac mapper
ack message,arc message
APIR,API r
appender
appsettings,up settings
ASB Appender
ASP.NET Core app,asp dotnet call rap
ASP.NET Core app,asp dotnet call up
ASP.NET Core,asp dotnet call
ASP.NET Core,asp dotnet core
async,a sink
AutoHotkey scripts,alto hot key scrips
AutoHotkey,alto hot key
azure key vault,as your key vault
azure key vault,as your key volt
azure portal,as your portal
azure service bus,as your service bus
balance information API,ballance information API
balance information,ballance information
balance sender,balance sunder
betaflight, beta flight
BIC
Blazor app,blazer rap
Blazor app,plaza up
Blazor application,plays or application
Blazor,plaza
Blazorise,blazer ice
Blazorise,plays arise
bool
bootstrap,beach strap
bootstrapper,beach trapper
C# ,c sharp
C# ,se sharp
C# ,se shop
Calastone,color stone
Cameron Bell,Cameron bell
Cameron Scott Bell
CDSC
chromedriver,crime driver
clear review,clear of you
clight
CR,se all
csproj,cs branch
csproj,see as broach
css,cess
CTN bridge
CTN feed
CTN feeds
ctndev1,cat and davon
ctndev1,city and davon
ctndev1,et and davon
ctndev1,stand davon
ctnqa6,can ka sex
ctnqa6,can Qasim
ctnqa6,stand ka six
ctnqa6,tan ka six
ctnqa8,can qa at
Cursorless
Datadog,date to dog
Datadog,day to dog
DataGrid,day to grid
descoped
DevOps
EMS,ems
enable,Anabel
end of day balance
end-to-end level,en to end level
end-to-end level,end to and level
end-to-end test,end to end teth
end-to-end test,into en test
end-to-end test,unto en test
end-to-end tests,int antes
end-to-end tests,into antes
endpoint management
enqueued,an cue
enqueued,and cue
enqueued,and cued
enqueued,and cute
enqueued,and ket
enqueued,and keyed
enum
enums
equality predicate
excel,axel
eye tracker mouse
for each loop,for reach leap
git repo,get repo
git repository,get repository
GitHub repo,get to repo
GitHub repository,get her repository
GitHub,get tub
GitHub,gets up
GitHub,getup
gitignore,get ignore
go tab
Gsam,ge sam
Gsam,ge some
GUID,goo id
GUIDs,goo ids
HackEDU,hackage
HackEDU,hacker jeer
helm chart
helm charts
IEnumerable
inequality predicate
inner join
ISIN,i sin
ISIN,ice in
ivanti,avanti
JSON,Jason
key vault,key volt
Kubernetes
mandatory,manda tree
mandatory,monde tree
mandatory,under tree
message adapter
message adapter management,measured it up to management
message adapter management,message is up to management
message adapter management,message it up to management
message adapter management,messaged up to management
message adapter management,messages up to management
money market
money markets,money marques
MQ Appender,am cu appender
MQ Appender,an cue appender
MQ Appender,mq pender
MQ queue,MQ cu
MQ queue,MQ key
MQ Server
MQ,am cu
MQ,am key
MQ,i am key
MQ,I am key
MT940,em tee nine forty
MT941,em tee nine forty one
MT941,em tee nine four one
MT942,em tee nine forty two
MT942,em tee nine four two
mutesync,meat sink
mutesync,ut sink
mutesync,yet sink
mutesync,you sink
nack
nacked
non-clustered index,non classed index
non-clustered index,non cluster index
non-clustered index,non clustered index
non-clustered index,on clustered index
NServiceBus,and service boss
NServiceBus,and service bus
NServiceBus,and service buss
nuget package,you get package
null checking,nil checking
null checking,nole checking
null checking,old checking
null reference exception,no reference exception
nullable
OAuth client,a worth client
OAuth client,i wars client
OAuth client,I wars client
OAuth,a worth
OAuth,air worth
OAuth,Howarth
one to one
ops dash,ops tash
orderqa6,all to qa sex
orderqa6,auto qa sex
orderqa6,auto qua sex
orderqa6,order qa sex
orderqa6,order qa six
orderqa6,order qua sex 
Ourania,urania
Ourania,you rania
Ourania,you wrong a
outbound queue,out bound key
outbound queue,outbound cu
outbound queue,outbound key
OWASP,i wasp
OWASP,I wasp
Pirashanth,prashant
Pirashanth's
PluralSight,plural sights
POCO,poco
Power BI,power bee
Power BI,power by i
Power BI,power by I
PR
process controller management,process control and management
pull request,poll request
QA,cu a
QA,keyway
QA,qua
queue name,key name
readonly,read only
Reji,reggie
Resharper,resharper
Resharper,we sharper
SEDOL,se doll
SFTP,as step
Sourcetree,souls tree
Specflow,backflow
sproc,sprock
swift connector
TeamCity,team city
test data,testator
Tobii eye tracker,tap eye tracker
Tobii eye tracker,Tobii tracker
UI,you i
unit test,you nit test
unit test,you unit test
upsert
upserting
URL,you are well
var
VARCHAR,all char
VARCHAR,var char
Vimium,vim um
vscode
YouTrack,you track
