grip, DataGrip
term, iTerm2
one note, ONENOTE
lock, slack.exe
app, slack.exe
lockapp, slack.exe
pycharm, pycharm64.exe
webstorm, webstorm64.exe
stud, devenv.exe
sequel, SSMS 18
file, Windows Explorer
teams, Microsoft Teams
tree, Sourcetree
guard, RSIGuard
list, Microsoft To Do
mail, Microsoft Outlook
note, Obsidian
bash, MSYS2 terminal
